Name,Slug,Email,Phone,Website,Address,Categories,Relevant Countries,Quality,Sources,Directory URL,JSON URL,Lead Score,Reason,Priority
IServ GmbH,iserv,info@iserv.de,+49 531 3882102,https://iserv.de/,"Vossenkamp 6
38104 Braunschweig
Deutschland","telecommunication, social media",de,verified,"https://iserv.de/legal/privacy, https://iserv.de/legal, https://github.com/datenanfragen/data/pull/2907",https://www.datarequests.org/company/iserv/,https://www.datarequests.org/db/iserv.json,24,"telecom, social media, verified, email, phone, website",High
CRIF GmbH,crif-at,auskunft@crif.com,+43 1 89742440,https://www.crif.at/,"Rothschildplatz 3/Top 3.06.B
1020 Wien
Österreich","credit agency, finance, ads",at,verified,"https://www.crif.at/datenschutzerklaerung-auskunftei-und-adressverlag/, https://www.crif.at/impressum/, https://github.com/datenanfragen/data/issues/119, https://github.com/datenanfragen/data/issues/153",https://www.datarequests.org/company/crif-at/,https://www.datarequests.org/db/crif-at.json,24,"finance, ads, verified, email, phone, website",High
CHECK24 Vergleichsportal GmbH,check24,kundenmanagement_datenschutz@check24.de,+49 89 2000471010,https://www.check24.de/,"Erika-Mann-Str. 62 – 66
80636 München
Deutschland","ads, insurance, finance, commerce, telecommunication",de,verified,"https://www.check24.de/popup/datenschutz-check24-gmbh/, https://www.check24.de/unternehmen/impressum/, https://github.com/datenanfragen/data/pull/697, https://github.com/datenanfragen/data/pull/2056",https://www.datarequests.org/company/check24/,https://www.datarequests.org/db/check24.json,24,"finance, ads, verified, email, phone, website",High
heinekingmedia GmbH,heinekingmedia,datenschutz@heinekingmedia.de,+49 511 675190,https://heinekingmedia.de/,"Hamburger Allee 2 – 4
30161 Hannover
Deutschland","commerce, entertainment, social media, telecommunication, ads","de, at, ch",verified,https://heinekingmedia.de/datenschutz/,https://www.datarequests.org/company/heinekingmedia/,https://www.datarequests.org/db/heinekingmedia.json,24,"telecom, ads, verified, email, phone, website",High
Wolters Kluwer N.V.,wolterskluwer-global,,+1 877 755 1133,https://www.wolterskluwer.com,"P.O. Box 1030
2400BA Alphen aan den Rijn
The Netherlands","health, school, social media",all,verified,"https://www.wolterskluwer.com/en/privacy-cookies, https://www.wolterskluwer.com/en/privacy-cookies/inquiry, https://github.com/datenanfragen/data/pull/922, https://www.wolterskluwer.com/en/site-owner, https://www.wolterskluwer.com/en/privacy-cookies/california-consumer-privacy-act",https://www.datarequests.org/company/wolterskluwer-global/,https://www.datarequests.org/db/wolterskluwer-global.json,24,"health, social media, verified, phone, website, global",High
Ewealth.cc,ewealth-cc,support@ewealth.cc,+44 20 8089 0220,https://ewealth.cc/,"c/o Advertising.R
Obzor street
Town of Ruse 7000
Region Ruse
Municipality of Ruse 10
Bulgaria","ads, finance","gb, de, it, es",verified,"https://ewealth.cc/terms-and-conditions/, https://github.com/datenanfragen/data/pull/814, https://ewealth.cc/support-center/",https://www.datarequests.org/company/ewealth-cc/,https://www.datarequests.org/db/ewealth-cc.json,24,"finance, ads, verified, email, phone, website",High
Italiaonline S.p.A.,italiaonline,info@italiaonline.it,+39 800 011 411,https://www.italiaonline.it/,"Corso Mortara 22
10149 Torino TO
Italia","telecommunication, addresses, entertainment, social media, finance, travel",it,verified,"https://www.italiaonline.it/corporate/informativa-privacy/, https://privacy.italiaonline.it/Privacy/form.privacy.php, http://privacy.italiaonline.it/common/cookie/privacy_libero.html, http://privacy.italiaonline.it/common/cookie/privacy_virgilio.html, https://www.paginegialle.it/termini-condizioni/dati_personali",https://www.datarequests.org/company/italiaonline/,https://www.datarequests.org/db/italiaonline.json,24,"finance, social media, verified, email, phone, website",High
PAYBACK GmbH,payback,datenschutz@payback.de,+49 89 540208020,https://www.payback.de,"Theresienhöhe 12
80339 München
Deutschland","ads, commerce, finance",de,verified,"https://www.payback.de/info/datenschutz-paybackde, https://www.payback.de/info/impressum, https://github.com/datenanfragen/data/issues/217, https://github.com/datenanfragen/data/pull/2747, https://github.com/datenanfragen/data/pull/3804",https://www.datarequests.org/company/payback/,https://www.datarequests.org/db/payback.json,24,"finance, ads, verified, email, phone, website",High
nhi² AG Interviews International,nhi2,ds-beauftragter@nhi2.de,+49 228 201780,https://www.nhi2.de/,"Am Metternicher Hof 15
53111 Bonn
Deutschland","telecommunication, ads",de,verified,"https://www.nhi2.de/datenschutz.html, https://github.com/datenanfragen/data/pull/791",https://www.datarequests.org/company/nhi2/,https://www.datarequests.org/db/nhi2.json,24,"telecom, ads, verified, email, phone, website",High
Miles & More GmbH,miles-and-more,datenschutz@dlh.de,,https://www.miles-and-more.com,"MAC Main Airport Center
Unterschweinstiege 8
60549 Frankfurt/Main
Deutschland","travel, ads, finance",all,verified,"https://www.miles-and-more.com/de/de/general-information/privacy-statement.html, https://www.miles-and-more.com/de/de/general-information/privacy-statement/privacy-statement-of-the-miles-and-more-programme.html, https://www.miles-and-more.com/de/de/general-information/privacy-statement/data-protection-policy-of-the-miles-and-more-website-app-communication-media.html, https://www.miles-and-more.com/de/de/general-information/imprint.html, https://www.miles-and-more.com/de/de/general-information/co-editor-miles-and-more.html, https://github.com/datenanfragen/data/issues/256",https://www.datarequests.org/company/miles-and-more/,https://www.datarequests.org/db/miles-and-more.json,24,"finance, ads, verified, email, website, global",High
Ranger Marketing & Vertriebs GmbH,ranger-marketing-vertriebs-gmbh,datenschutz@ranger.de,+49 211 20008300,https://www.ranger.de/,"Parsevalstraße 11
40468 Düsseldorf
Deutschland","ads, telecommunication",de,verified,"https://www.ranger.de/datenschutz, https://github.com/datenanfragen/data/issues/466",https://www.datarequests.org/company/ranger-marketing-vertriebs-gmbh/,https://www.datarequests.org/db/ranger-marketing-vertriebs-gmbh.json,24,"telecom, ads, verified, email, phone, website",High
"OpenAI, L.L.C.",openai,dsar@openai.com,,https://openai.com/,"3180 18th St
San Francisco, CA 94110
United States of America","social media, telecommunication",all,verified,"https://openai.com/policies/privacy-policy, https://github.com/datenanfragen/data/pull/2175",https://www.datarequests.org/company/openai/,https://www.datarequests.org/db/openai.json,24,"telecom, social media, verified, email, website, global",High
BerlinFive GmbH,berlinfive,office@berlinfive.com,+49 30 346494900,https://berlinfive.com,"Friedrichstr. 171
10117 Berlin
Deutschland","ads, telecommunication",de,verified,"https://berlinfive.com/datenschutz/, https://github.com/datenanfragen/data/pull/1649",https://www.datarequests.org/company/berlinfive/,https://www.datarequests.org/db/berlinfive.json,24,"telecom, ads, verified, email, phone, website",High
Threema GmbH,threema,privacy@threema.ch,,https://threema.ch,"Churerstrasse 82
8808 Pfäffikon SZ
Switzerland","telecommunication, social media",all,verified,https://threema.ch/de/privacy,https://www.datarequests.org/company/threema/,https://www.datarequests.org/db/threema.json,24,"telecom, social media, verified, email, website, global",High
Verivox GmbH,verivox,datenschutz@verivox.de,+49 6221 7961100,https://www.verivox.de/,"Max-Jarecki-Straße 21
69115 Heidelberg
Deutschland","ads, finance, insurance, commerce, telecommunication",de,verified,"https://www.verivox.de/company/datenschutz/, https://www.verivox.de/company/datenschutz-finanzvergleich/, https://www.verivox.de/company/datenschutz-versicherungsvergleich/, https://www.preis24.de/, https://www.toptarif.de/, https://www.verivox.de/company/impressum/, https://github.com/datenanfragen/data/pull/1859, https://github.com/datenanfragen/data/pull/3408",https://www.datarequests.org/company/verivox/,https://www.datarequests.org/db/verivox.json,24,"finance, ads, verified, email, phone, website",High
runtastic GmbH,runtastic,dataprotection@runtastic.com,,https://www.runtastic.com/en/privacy-policy,"Pluskaufstraße 7
4061 Pasching bei Linz
Austria","health, social media",all,verified,"https://github.com/datenanfragen/data/pull/1169, https://www.runtastic.com/en/privacy-policy",https://www.datarequests.org/company/runtastic/,https://www.datarequests.org/db/runtastic.json,24,"health, social media, verified, email, website, global",High
YANDEX LLC,yandex,gdpr@yandex-team.ru,,https://yandex.com/,"5 Chilia Veche Street
Building TD 17, 36
061741 Bucharest
Romania","ads, entertainment, social media, telecommunication",all,verified,"https://yandex.com/legal/confidential/?lang=en, https://yandex.com/dev/appmetrica/index/, https://github.com/datenanfragen/data/pull/3453",https://www.datarequests.org/company/yandex/,https://www.datarequests.org/db/yandex.json,24,"telecom, ads, verified, email, website, global",High
The Rocket Science Group LLC,mailchimp,personaldatarequests@mailchimp.com,,https://mailchimp.com,"675 Ponce de Leon Ave NE
Suite 5000
Atlanta
GA 30308
United States of America","ads, telecommunication",all,verified,"https://mailchimp.com/legal/privacy/, https://github.com/datenanfragen/data/issues/653",https://www.datarequests.org/company/mailchimp/,https://www.datarequests.org/db/mailchimp.json,24,"telecom, ads, verified, email, website, global",High
Ströer Digital Publishing GmbH,stroeer-digital-publishing,sdp-datenschutz@stroeer.de,+49 69 921017610,https://www.t-online.de,"Ströer-Allee 1
50999 Köln
Deutschland","ads, entertainment, telecommunication",de,verified,"https://www.t-online.de/datenschutz/, https://www.t-online.de/impressum/id_12511434/index, https://www.t-online.de/unternehmen/, https://www.stroeer.de/konvergenz-konzepte/konzept-content/plattformen-portale/stroeer-digital-publishing.html, https://github.com/datenanfragen/data/pull/1336",https://www.datarequests.org/company/stroeer-digital-publishing/,https://www.datarequests.org/db/stroeer-digital-publishing.json,24,"telecom, ads, verified, email, phone, website",High
Appvestor ApS,calldorado,info@appvestor.com,,https://calldorado.com/,"Gladsaxevej 342
2860 Søborg
Denmark","ads, telecommunication",all,verified,"https://calldorado.com/terms-of-use.html, https://appvestor.com/?page_id=457",https://www.datarequests.org/company/calldorado/,https://www.datarequests.org/db/calldorado.json,24,"telecom, ads, verified, email, website, global",High
Rocket.Chat Technologies Corp.,rocketchat,privacy@rocket.chat,,https://rocket.chat,"2711 Centerville Road
Suite 400 Wilmington
DE 19808
United States of America","telecommunication, social media",all,verified,"https://rocket.chat/terms, https://rocket.chat/privacy",https://www.datarequests.org/company/rocketchat/,https://www.datarequests.org/db/rocketchat.json,24,"telecom, social media, verified, email, website, global",High
Ada Health GmbH,ada-health,dpo@ada.com,+49 30 60031987,https://ada.com,"Karl-Liebknecht-Straße 1
10178 Berlin
Deutschland",health,all,verified,"https://ada.com/privacy-policy/, https://ada.com/imprint/, https://github.com/datenanfragen/data/pull/1866",https://www.datarequests.org/company/ada-health/,https://www.datarequests.org/db/ada-health.json,21,"health, verified, email, phone, website, global",High
INGENICO,ingenico-eu,dataprivacy@ingenico.com,+33 1 58 01 91 35,https://www.ingenico.com,"13/17 Rue Pagès
92150 Suresnes
France",finance,all,verified,"https://ingenico.com/en/legal/privacy-policy, https://ingenico.com/en/contact, https://github.com/datenanfragen/data/pull/2338",https://www.datarequests.org/company/ingenico-eu/,https://www.datarequests.org/db/ingenico-eu.json,21,"finance, verified, email, phone, website, global",High
INWX GmbH & Co. KG,inwx,datenschutz@inwx.de,+49 30 983212121,https://www.inwx.de,"Prinzessinnenstr. 30
10969 Berlin
Deutschland",telecommunication,all,verified,"https://www.inwx.de/de/aboutus/imprint, https://www.inwx.de/de/aboutus/dataprotection",https://www.datarequests.org/company/inwx/,https://www.datarequests.org/db/inwx.json,21,"telecom, verified, email, phone, website, global",High
IONOS SE,ionos,datenschutz@ionos.de,+49 721 1705522,https://www.ionos.de,"Elgendorfer Straße 57
56410 Montabaur
Germany",telecommunication,all,verified,"https://www.ionos.de/impressum, https://www.ionos.de/terms-gtc/terms-privacy, https://github.com/datenanfragen/data/pull/1242",https://www.datarequests.org/company/ionos/,https://www.datarequests.org/db/ionos.json,21,"telecom, verified, email, phone, website, global",High
Holvi Payment Services Oy,holvi,privacy@holvi.com,+358 75 3252935,https://www.holvi.com/,"Kaikukatu 2 C
00530 Helsinki
Finland",finance,all,verified,"https://support.holvi.com/hc/en-gb/articles/202260402-Privacy-Notice, https://support.holvi.com/hc/en-gb/articles/202271182-Imprint, https://support.holvi.com/hc/en-gb/articles/115005238365-Contact-us",https://www.datarequests.org/company/holvi/,https://www.datarequests.org/db/holvi.json,21,"finance, verified, email, phone, website, global",High
Hostpoint AG,hostpoint,privacy@hostpoint.ch,+41 55 220 63 10,https://www.hostpoint.ch,"Neue Jonastrasse 60
8640 Rapperswil-Jona
Switzerland",telecommunication,all,verified,"https://www.hostpoint.ch/en/hostpoint/contact-gtc.html, https://github.com/datenanfragen/data/pull/997",https://www.datarequests.org/company/hostpoint/,https://www.datarequests.org/db/hostpoint.json,21,"telecom, verified, email, phone, website, global",High
Fintiba GmbH,fintiba,privacy@fintiba.com,+49 69 204342620,https://www.fintiba.com,"Baseler Straße 35-37
c/o AGOR AG
Hanauer Landstr. 151-153
60314 Frankfurt am Main
Germany","finance, school",all,verified,"https://www.fintiba.com/documents/Agreement_DataProtectionNotice_Fintiba.pdf?x54750, https://github.com/datenanfragen/data/pull/1026, https://www.fintiba.com/imprint/",https://www.datarequests.org/company/fintiba/,https://www.datarequests.org/db/fintiba.json,21,"finance, verified, email, phone, website, global",High
"GMMI, Inc.",gmmi,legal@us.generaliglobalassistance.com,+1 954 370 6404,https://www.gmmi.com,"880 SW 145th Avenue, Suite 400
Pembroke Pines
FL 33027
United States of America",health,all,verified,"https://www.gmmi.com/gdpr/, https://github.com/datenanfragen/data/issues/667",https://www.datarequests.org/company/gmmi/,https://www.datarequests.org/db/gmmi.json,21,"health, verified, email, phone, website, global",High
"Headspace, Inc.",headspace,help@headspace.com,+1 855 432 3822,https://www.headspace.com/,"425 California Street
2nd Floor
San Francisco
CA 94104
United States of America","health, entertainment",all,verified,"https://www.headspace.com/contact-us, https://github.com/datenanfragen/data/issues/566, https://www.headspace.com/privacy-policy",https://www.datarequests.org/company/headspace/,https://www.datarequests.org/db/headspace.json,21,"health, verified, email, phone, website, global",High
European Bank for Financial Services GmbH (ebase),ebase,datenschutz-ebase@ebase.com,+49 89 45460890,https://www.ebase.com/home/,"80218 München
Deutschland",finance,all,verified,"https://www.ebase.com/datenschutz/datenschutz-online/, https://github.com/datenanfragen/data/issues/63",https://www.datarequests.org/company/ebase/,https://www.datarequests.org/db/ebase.json,21,"finance, verified, email, phone, website, global",High
Etsy Ireland UC,etsy,dpo@etsy.com,+353 1 513 7100,https://www.etsy.com/,"66 – 67 Great Strand Street
Dublin 1
Ireland","commerce, finance",all,verified,"https://www.etsy.com/legal/privacy/, https://www.etsy.com/legal/impressum",https://www.datarequests.org/company/etsy/,https://www.datarequests.org/db/etsy.json,21,"finance, verified, email, phone, website, global",High
Cellex Cell Professionals GmbH,cellex-cell-professionals-gmbh,datenschutz@cellex.me,+49 221 4545913,https://www.cellex.me/,"Im Mediapark 6B
50670 Köln
Deutschland",health,all,verified,https://www.cellex.me/de/datenschutz-impressum,https://www.datarequests.org/company/cellex-cell-professionals-gmbh/,https://www.datarequests.org/db/cellex-cell-professionals-gmbh.json,21,"health, verified, email, phone, website, global",High
Upwork Global Inc.,upwork,privacyrequests@upwork.com,+1 650 316 7500,https://www.upwork.com/,"655 Montgomery Street Suite 490
DPT 17022
San Francisco, CA 94111-2676
United States of America",finance,all,verified,"https://www.upwork.com/legal#privacy, https://github.com/datenanfragen/data/pull/1590",https://www.datarequests.org/company/upwork/,https://www.datarequests.org/db/upwork.json,21,"finance, verified, email, phone, website, global",High
Enom Inc.,enom,privacy@enom.com,+1 425 974 4689,https://www.enom.com/,"10400 NE 4th Street
Floor 5, Suite 121
Bellevue WA 98004
United States of America",telecommunication,all,verified,https://www.enom.com/terms/privacy.aspx,https://www.datarequests.org/company/enom/,https://www.datarequests.org/db/enom.json,21,"telecom, verified, email, phone, website, global",High
dogado GmbH,dogado,datenschutz@dogado.de,+49 231 2866200,https://www.dogado.de,"c/o alfahosting GmbH
Ankerstraße 3b
06108 Halle (Saale)
Germany",telecommunication,all,verified,"https://www.dogado.de/legal/impressum, https://www.dogado.de/legal/datenschutz, https://github.com/datenanfragen/data/pull/1243",https://www.datarequests.org/company/dogado/,https://www.datarequests.org/db/dogado.json,21,"telecom, verified, email, phone, website, global",High
Fairphone B.V.,fairphone,privacy@fairphone.com,+31 20 788 4400,https://www.fairphone.com/,"Jollemanhof 17
1019 GW Amsterdam
The Netherlands","telecommunication, commerce",all,verified,"https://www.fairphone.com/en/legal/fairphone-privacy-policy/, https://www.fairphone.com/en/legal/impressum/?ref=footer, https://github.com/datenanfragen/data/pull/932",https://www.datarequests.org/company/fairphone/,https://www.datarequests.org/db/fairphone.json,21,"telecom, verified, email, phone, website, global",High
Dynadot LLC,dynadot,DataProtectionOfficer@dynadot.com,+1 866 262 3399,https://www.dynadot.com/,"PO Box 345
San Mateo
CA 94401-0345
United States of America",telecommunication,all,verified,"https://www.dynadot.com/terms-of-use.html, https://www.bbb.org/greater-san-francisco/business-reviews/web-hosting/dynadot-llc-in-san-mateo-ca-119068",https://www.datarequests.org/company/dynadot/,https://www.datarequests.org/db/dynadot.json,21,"telecom, verified, email, phone, website, global",High
"Vitalwerks Internet Solutions, LLC d/b/a No-IP",noip,privacy@noip.com,+1 775 853 1883,https://www.noip.com,"425 Maestro Dr.
Second Floor
Reno
NV 89511
United States of America",telecommunication,all,verified,"https://www.noip.com/legal/privacy, https://www.noip.com/legal/tos, https://www.noip.com/contact",https://www.datarequests.org/company/noip/,https://www.datarequests.org/db/noip.json,21,"telecom, verified, email, phone, website, global",High
Wirecard AG,wirecard,data.privacy@wirecard.com,+49 89 44241200,https://www.wirecard.com/,"Einsteinring 35
85609 Aschheim
Germany",finance,all,verified,"https://www.wirecard.com/datenschutzbestimmungen/, https://www.wirecard.com/impressum/",https://www.datarequests.org/company/wirecard/,https://www.datarequests.org/db/wirecard.json,21,"finance, verified, email, phone, website, global",High
ZuluTrade,zulutrade,support@zulutrade.com,+30 21 3017 6300,https://www.zulutrade.com,"Akti Kondili 14
Piraeus 185 45
Greece",finance,all,verified,"https://github.com/datenanfragen/data/issues/419, https://www.zulutrade.com/privacy-policy",https://www.datarequests.org/company/zulutrade/,https://www.datarequests.org/db/zulutrade.json,21,"finance, verified, email, phone, website, global",High
"Accelevents, Inc.",accelevents,privacy@accelevents.com,+1 857 254 8035,https://accelevents.com,"10 Post Office Square
Suite 800 South
Boston, MA 02109
United States of America",telecommunication,all,verified,"https://www.accelevents.com/privacy-policy/, https://github.com/datenanfragen/data/pull/1278",https://www.datarequests.org/company/accelevents/,https://www.datarequests.org/db/accelevents.json,21,"telecom, verified, email, phone, website, global",High
Wix.com Luxembourg S.a.r.l,wix,privacy@wix.com,+1 415 639 9034,https://www.wix.com/,"5, rue Guillaume Kroll
L-1882 Luxembourg
Luxembourg",telecommunication,all,verified,"https://de.wix.com/about/privacy, http://de.wix.com/about/impressum-wix",https://www.datarequests.org/company/wix/,https://www.datarequests.org/db/wix.json,21,"telecom, verified, email, phone, website, global",High
"Wildbit, LLC",wildbit,privacy@wildbit.com,+1 215 203 0488,https://wildbit.com,"2400 Market Street
No. 200, Suite 235B
Philadelphia PA 19103
United States of America",telecommunication,all,verified,https://wildbit.com/privacy-policy,https://www.datarequests.org/company/wildbit/,https://www.datarequests.org/db/wildbit.json,21,"telecom, verified, email, phone, website, global",High
MeetApp International AB,ventla,dataprivacy@ventla.io,+46 8 83 18 44,https://www.ventla.io/,"Kungsgatan 60
111 22 Stockholm
Sweden",telecommunication,all,verified,"https://www.ventla.io/blog/rebrand-meetapp-is-now-ventla, https://www.ventla.io/legal/privacy-policy, https://github.com/datenanfragen/data/pull/1752",https://www.datarequests.org/company/ventla/,https://www.datarequests.org/db/ventla.json,21,"telecom, verified, email, phone, website, global",High
LenderMarket Limited,lendermarket,dpo@lendermarket.com,+353 1 691 7618,https://www.lendermarket.com/,"77 Sir John Rogerson’s Quay
Block C
Grand Canal Docklands
Dublin 2
D02 VK60
Ireland",finance,all,verified,"https://www.lendermarket.com/privacy-policy, https://github.com/datenanfragen/data/pull/1595",https://www.datarequests.org/company/lendermarket/,https://www.datarequests.org/db/lendermarket.json,21,"finance, verified, email, phone, website, global",High
BioNTech SE,biontech,data.privacy@biontech.de,+49 6131 90841030,https://biontech.de,"An der Goldgrube 12
55131 Mainz
Deutschland",health,all,verified,"https://biontech.de/data-privacy-policy, https://github.com/datenanfragen/data/pull/833",https://www.datarequests.org/company/biontech/,https://www.datarequests.org/db/biontech.json,21,"health, verified, email, phone, website, global",High
Mastercard Europe SA,mastercard-eu,privacyanddataprotection@mastercard.com,+32 2 352 51 11,https://www.mastercard.de,"Chaussée de Tervuren 198A
1410 Waterloo
Belgium",finance,all,verified,"https://www.mastercard.de/de-de/datenschutz.html, https://www.mastercard.de/de-de/datenschutz/impressum.html, https://github.com/datenanfragen/data/pull/3000",https://www.datarequests.org/company/mastercard-eu/,https://www.datarequests.org/db/mastercard-eu.json,21,"finance, verified, email, phone, website, global",High
Mollie B.V.,mollie,dpo@mollie.com,+31 20 820 2070,https://www.mollie.com,"Keizersgracht 313
1016 EE Amsterdam
The Netherlands",finance,all,verified,"https://www.mollie.com/en/privacy, https://www.mollie.com/de/impressum",https://www.datarequests.org/company/mollie/,https://www.datarequests.org/db/mollie.json,21,"finance, verified, email, phone, website, global",High
Boerse Stuttgart GmbH,boerse-stuttgart,dsb@boerse-stuttgart.de,+49 711 2229850,https://www.boerse-stuttgart.de,"Börsenstraße 4
70174 Stuttgart
Germany",finance,all,verified,"https://www.boerse-stuttgart.de/de-de/legal/allgemeiner-datenschutzhinweis/, https://www.anlegerclub.de/datenschutz.html, https://github.com/datenanfragen/data/pull/1875",https://www.datarequests.org/company/boerse-stuttgart/,https://www.datarequests.org/db/boerse-stuttgart.json,21,"finance, verified, email, phone, website, global",High
Midas Software GmbH,ayondo,midas@ayondo.one,+49 69 999994150,https://www.ayondo.com,"Passauer Straße 5
94161 Ruderting
Deutschland",finance,all,verified,https://www.ayondo.com/impressum-de.html,https://www.datarequests.org/company/ayondo/,https://www.datarequests.org/db/ayondo.json,21,"finance, verified, email, phone, website, global",High
VIACTIV Krankenkasse,viactiv,datenschutz@viactiv.de,+49 234 4792799,https://www.viactiv.de/,"Suttner-Nobel-Allee 3-5
44803 Bochum
Deutschland",health,all,verified,"https://www.viactiv.de/datenschutz, https://github.com/datenanfragen/data/pull/3085",https://www.datarequests.org/company/viactiv/,https://www.datarequests.org/db/viactiv.json,21,"health, verified, email, phone, website, global",High
LGT Group Holding Ltd.,lgt-bank,lgt.datenschutz@lgt.com,+423 235 11 22,https://www.lgt.li/,"Herrengasse 12
9490 Vaduz
Liechtenstein",finance,all,verified,https://www.lgt.com/global-en/data-privacy-notice,https://www.datarequests.org/company/lgt-bank/,https://www.datarequests.org/db/lgt-bank.json,21,"finance, verified, email, phone, website, global",High
Jimdo GmbH,jimdo,datenschutz@jimdo.com,+49 40 82244997,https://jimdo.com/,"Stresemannstraße 375
22761 Hamburg
Deutschland",telecommunication,all,verified,"https://de.jimdo.com/info/datenschutzerklaerung/, https://de.jimdo.com/impressum/, https://www.jimdo.com/info/privacy/",https://www.datarequests.org/company/jimdo/,https://www.datarequests.org/db/jimdo.json,21,"telecom, verified, email, phone, website, global",High
